,rank,player,age,team_id,votes_first,points_won,points_max,award_share,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,ws_per_48,year,player_url,player_img
148,1,LeBron James,19,CLE,78.0,508.0,590,0.861,79,39.5,20.9,5.5,5.9,1.6,0.7,.417,.290,.754,5.1,.078,2004,https://www.basketball-reference.com//players/j/jamesle01.html,https://www.basketball-reference.com/req/202106291/images/players/jamesle01.jpg
149,2,Carmelo Anthony,19,DEN,40.0,430.0,590,0.729,82,36.5,21.0,6.1,2.8,1.2,0.5,.426,.322,.777,6.1,.098,2004,https://www.basketball-reference.com//players/a/anthoca01.html,https://www.basketball-reference.com/req/202106291/images/players/anthoca01.jpg
150,3,Dwyane Wade,22,MIA,0.0,117.0,590,0.198,61,34.9,16.2,4.0,4.5,1.4,0.6,.465,.302,.747,4.6,.103,2004,https://www.basketball-reference.com//players/w/wadedw01.html,https://www.basketball-reference.com/req/202106291/images/players/wadedw01.jpg
151,4,Kirk Hinrich,23,CHI,0.0,4.0,590,0.007,76,35.6,12.0,3.4,6.8,1.3,0.3,.386,.390,.804,4.1,.072,2004,https://www.basketball-reference.com//players/h/hinriki01.html,https://www.basketball-reference.com/req/202106291/images/players/hinriki01.jpg
152,5,Chris Bosh,19,TOR,0.0,2.0,590,0.003,75,33.5,11.5,7.4,1.0,0.8,1.4,.459,.357,.701,6.2,.119,2004,https://www.basketball-reference.com//players/b/boshch01.html,https://www.basketball-reference.com/req/202106291/images/players/boshch01.jpg
153,6,Marquis Daniels,23,DAL,0.0,1.0,590,0.002,56,18.6,8.5,2.6,2.1,0.9,0.2,.494,.306,.769,3.2,.146,2004,https://www.basketball-reference.com//players/d/daniema01.html,https://www.basketball-reference.com/req/202106291/images/players/daniema01.jpg
154,1,Emeka Okafor,22,CHA,77.0,514.0,630,0.816,73,35.6,15.1,10.9,0.9,0.8,1.7,.447,.000,.609,4.0,.074,2005,https://www.basketball-reference.com//players/o/okafoem01.html,https://www.basketball-reference.com/req/202106291/images/players/okafoem01.jpg
155,2,Ben Gordon,21,CHI,43.0,443.0,630,0.703,82,24.4,15.1,2.6,2.0,0.6,0.1,.411,.405,.863,3.5,.084,2005,https://www.basketball-reference.com//players/g/gordobe01.html,https://www.basketball-reference.com/req/202106291/images/players/gordobe01.jpg
156,3,Dwight Howard,19,ORL,6.0,161.0,630,0.256,82,32.6,12.0,10.0,0.9,0.9,1.7,.520,.000,.671,7.3,.131,2005,https://www.basketball-reference.com//players/h/howardw01.html,https://www.basketball-reference.com/req/202106291/images/players/howardw01.jpg
157,4,Andre Iguodala,21,PHI,0.0,14.0,630,0.022,82,32.8,9.0,5.7,3.0,1.7,0.6,.493,.331,.743,6.6,.118,2005,https://www.basketball-reference.com//players/i/iguodan01.html,https://www.basketball-reference.com/req/202106291/images/players/iguodan01.jpg
158,5T,Luol Deng,19,CHI,0.0,1.0,630,0.002,61,27.3,11.7,5.3,2.2,0.8,0.4,.434,.265,.741,3.0,.086,2005,https://www.basketball-reference.com//players/d/denglu01.html,https://www.basketball-reference.com/req/202106291/images/players/denglu01.jpg
159,5T,J.R. Smith,19,NOH,0.0,1.0,630,0.002,76,24.5,10.3,2.0,1.9,0.7,0.1,.394,.288,.689,0.2,.006,2005,https://www.basketball-reference.com//players/s/smithjr01.html,https://www.basketball-reference.com/req/202106291/images/players/smithjr01.jpg
160,1,Chris Paul,20,NOK,124.0,623.0,625,0.997,78,36.0,16.1,5.1,7.8,2.2,0.1,.430,.282,.847,10.4,.178,2006,https://www.basketball-reference.com//players/p/paulch01.html,https://www.basketball-reference.com/req/202106291/images/players/paulch01.jpg
161,2,Charlie Villanueva,21,TOR,0.0,248.0,625,0.397,81,29.1,13.0,6.4,1.1,0.7,0.8,.463,.327,.706,3.9,.079,2006,https://www.basketball-reference.com//players/v/villach01.html,https://www.basketball-reference.com/req/202106291/images/players/villach01.jpg
162,3,Andrew Bogut,21,MIL,0.0,98.0,625,0.157,82,28.6,9.4,7.0,2.3,0.6,0.8,.533,.000,.629,5.5,.113,2006,https://www.basketball-reference.com//players/b/bogutan01.html,https://www.basketball-reference.com/req/202106291/images/players/bogutan01.jpg
163,4,Raymond Felton,21,CHA,0.0,79.0,625,0.126,80,30.1,11.9,3.3,5.6,1.3,0.1,.391,.358,.725,2.6,.051,2006,https://www.basketball-reference.com//players/f/feltora01.html,https://www.basketball-reference.com/req/202106291/images/players/feltora01.jpg
164,5,Channing Frye,22,NYK,0.0,41.0,625,0.066,65,24.2,12.3,5.8,0.8,0.5,0.7,.477,.333,.825,3.5,.108,2006,https://www.basketball-reference.com//players/f/fryech01.html,https://www.basketball-reference.com/req/202106291/images/players/fryech01.jpg
165,6,Deron Williams,21,UTA,1.0,31.0,625,0.050,80,28.8,10.8,2.4,4.5,0.8,0.2,.421,.416,.704,2.8,.059,2006,https://www.basketball-reference.com//players/w/willide01.html,https://www.basketball-reference.com/req/202106291/images/players/willide01.jpg
166,7T,Danny Granger,22,IND,0.0,2.0,625,0.003,78,22.6,7.5,4.9,1.2,0.7,0.8,.462,.323,.777,5.1,.139,2006,https://www.basketball-reference.com//players/g/grangda01.html,https://www.basketball-reference.com/req/202106291/images/players/grangda01.jpg
167,7T,Luther Head,23,HOU,0.0,2.0,625,0.003,80,28.9,8.8,3.3,2.7,1.1,0.1,.403,.361,.699,3.5,.072,2006,https://www.basketball-reference.com//players/h/headlu01.html,https://www.basketball-reference.com/req/202106291/images/players/headlu01.jpg
168,9,Ryan Gomes,23,BOS,0.0,1.0,625,0.002,61,22.6,7.6,4.9,1.0,0.6,0.1,.487,.333,.752,3.1,.108,2006,https://www.basketball-reference.com//players/g/gomesry01.html,https://www.basketball-reference.com/req/202106291/images/players/gomesry01.jpg
169,1,Brandon Roy,22,POR,127.0,638.0,640,0.997,57,35.4,16.8,4.4,4.0,1.2,0.2,.456,.377,.838,4.8,.114,2007,https://www.basketball-reference.com//players/r/roybr01.html,https://www.basketball-reference.com/req/202106291/images/players/roybr01.jpg
170,2,Andrea Bargnani,21,TOR,1.0,264.0,640,0.413,65,25.1,11.6,3.9,0.8,0.5,0.8,.427,.373,.824,1.9,.057,2007,https://www.basketball-reference.com//players/b/bargnan01.html,https://www.basketball-reference.com/req/202106291/images/players/bargnan01.jpg
171,3,Rudy Gay,20,MEM,0.0,93.0,640,0.145,78,27.0,10.8,4.5,1.3,0.9,0.9,.422,.364,.727,0.5,.011,2007,https://www.basketball-reference.com//players/g/gayru01.html,https://www.basketball-reference.com/req/202106291/images/players/gayru01.jpg
172,4,Adam Morrison,22,CHA,0.0,44.0,640,0.069,78,29.8,11.8,2.9,2.1,0.4,0.1,.376,.337,.710,-1.5,-0.030,2007,https://www.basketball-reference.com//players/m/morriad01.html,https://www.basketball-reference.com/req/202106291/images/players/morriad01.jpg
173,5,Randy Foye,23,MIN,0.0,37.0,640,0.058,82,22.9,10.1,2.7,2.8,0.6,0.3,.434,.368,.854,2.3,.058,2007,https://www.basketball-reference.com//players/f/foyera01.html,https://www.basketball-reference.com/req/202106291/images/players/foyera01.jpg
174,6,Paul Millsap,21,UTA,0.0,19.0,640,0.030,82,18.0,6.8,5.2,0.8,0.8,0.9,.525,.333,.673,4.7,.153,2007,https://www.basketball-reference.com//players/m/millspa01.html,https://www.basketball-reference.com/req/202106291/images/players/millspa01.jpg
175,7,LaMarcus Aldridge,21,POR,0.0,18.0,640,0.028,63,22.1,9.0,5.0,0.4,0.3,1.2,.503,.000,.722,3.4,.118,2007,https://www.basketball-reference.com//players/a/aldrila01.html,https://www.basketball-reference.com/req/202106291/images/players/aldrila01.jpg
176,8,Jorge Garbajosa,29,TOR,0.0,17.0,640,0.027,67,28.5,8.5,4.9,1.9,1.2,0.2,.420,.342,.731,3.0,.074,2007,https://www.basketball-reference.com//players/g/garbajo01.html,https://www.basketball-reference.com/req/202106291/images/players/garbajo01.jpg
177,9,Tyrus Thomas,20,CHI,0.0,10.0,640,0.016,72,13.4,5.2,3.7,0.6,0.6,1.1,.475,.000,.606,2.2,.110,2007,https://www.basketball-reference.com//players/t/thomaty01.html,https://www.basketball-reference.com/req/202106291/images/players/thomaty01.jpg
178,10,Walter Herrmann,27,CHA,0.0,5.0,640,0.008,48,19.5,9.2,2.9,0.5,0.4,0.1,.527,.461,.774,2.4,.125,2007,https://www.basketball-reference.com//players/h/herrmwa01.html,https://www.basketball-reference.com/req/202106291/images/players/herrmwa01.jpg
179,11,Craig Smith,23,MIN,0.0,4.0,640,0.006,82,18.7,7.4,5.1,0.6,0.6,0.2,.531,.000,.624,3.9,.121,2007,https://www.basketball-reference.com//players/s/smithcr01.html,https://www.basketball-reference.com/req/202106291/images/players/smithcr01.jpg
180,12,Rajon Rondo,20,BOS,0.0,3.0,640,0.005,78,23.5,6.4,3.7,3.8,1.6,0.1,.418,.207,.647,2.4,.064,2007,https://www.basketball-reference.com//players/r/rondora01.html,https://www.basketball-reference.com/req/202106291/images/players/rondora01.jpg
181,1,Kevin Durant,19,SEA,90.0,545.0,625,0.872,80,34.6,20.3,4.4,2.4,1.0,0.9,.430,.288,.873,2.3,.040,2008,https://www.basketball-reference.com//players/d/duranke01.html,https://www.basketball-reference.com/req/202106291/images/players/duranke01.jpg
182,2,Al Horford,21,ATL,30.0,390.0,625,0.624,81,31.4,10.1,9.7,1.5,0.7,0.9,.499,.000,.731,5.5,.103,2008,https://www.basketball-reference.com//players/h/horfoal01.html,https://www.basketball-reference.com/req/202106291/images/players/horfoal01.jpg
183,3,Luis Scola,27,HOU,5.0,146.0,625,0.234,82,24.7,10.3,6.4,1.3,0.7,0.2,.515,.000,.668,6.5,.154,2008,https://www.basketball-reference.com//players/s/scolalu01.html,https://www.basketball-reference.com/req/202106291/images/players/scolalu01.jpg
184,4,Al Thornton,24,LAC,0.0,30.0,625,0.048,79,27.3,12.7,4.5,1.2,0.6,0.5,.429,.331,.743,1.1,.025,2008,https://www.basketball-reference.com//players/t/thornal01.html,https://www.basketball-reference.com/req/202106291/images/players/thornal01.jpg
185,5,Jamario Moon,27,TOR,0.0,7.0,625,0.011,78,27.8,8.5,6.2,1.2,1.0,1.4,.485,.328,.741,5.7,.126,2008,https://www.basketball-reference.com//players/m/moonja01.html,https://www.basketball-reference.com/req/202106291/images/players/moonja01.jpg
186,6,Juan Carlos Navarro,27,MEM,0.0,3.0,625,0.005,82,25.8,10.9,2.6,2.2,0.6,0.0,.402,.361,.849,1.4,.031,2008,https://www.basketball-reference.com//players/n/navarju01.html,https://www.basketball-reference.com/req/202106291/images/players/navarju01.jpg
187,7,Thaddeus Young,19,PHI,0.0,2.0,625,0.003,74,21.0,8.2,4.2,0.8,1.0,0.1,.539,.316,.738,4.5,.140,2008,https://www.basketball-reference.com//players/y/youngth01.html,https://www.basketball-reference.com/req/202106291/images/players/youngth01.jpg
188,8T,Mike Conley,20,MEM,0.0,1.0,625,0.002,53,26.1,9.4,2.6,4.2,0.8,0.0,.428,.330,.732,1.1,.038,2008,https://www.basketball-reference.com//players/c/conlemi01.html,https://www.basketball-reference.com/req/202106291/images/players/conlemi01.jpg
189,8T,Carl Landry,24,HOU,0.0,1.0,625,0.002,42,16.9,8.1,4.9,0.5,0.4,0.2,.616,.000,.661,3.7,.251,2008,https://www.basketball-reference.com//players/l/landrca01.html,https://www.basketball-reference.com/req/202106291/images/players/landrca01.jpg
190,1,Derrick Rose,20,CHI,111.0,574.0,600,0.957,81,37.0,16.8,3.9,6.3,0.8,0.2,.475,.222,.788,4.9,.078,2009,https://www.basketball-reference.com//players/r/rosede01.html,https://www.basketball-reference.com/req/202106291/images/players/rosede01.jpg
191,2,O.J. Mayo,21,MEM,5.0,246.0,600,0.410,82,38.0,18.5,3.8,3.2,1.1,0.2,.438,.384,.879,3.4,.052,2009,https://www.basketball-reference.com//players/m/mayooj01.html,https://www.basketball-reference.com/req/202106291/images/players/mayooj01.jpg
192,3,Brook Lopez,20,NJN,2.0,127.0,600,0.212,82,30.5,13.0,8.1,1.0,0.5,1.8,.531,.000,.793,5.8,.112,2009,https://www.basketball-reference.com//players/l/lopezbr01.html,https://www.basketball-reference.com/req/202106291/images/players/lopezbr01.jpg
193,4,Russell Westbrook,20,OKC,2.0,73.0,600,0.122,82,32.5,15.3,4.9,5.3,1.3,0.2,.398,.271,.815,1.9,.035,2009,https://www.basketball-reference.com//players/w/westbru01.html,https://www.basketball-reference.com/req/202106291/images/players/westbru01.jpg
194,5,Eric Gordon,20,LAC,0.0,22.0,600,0.037,78,34.3,16.1,2.6,2.8,1.0,0.4,.456,.389,.854,4.6,.082,2009,https://www.basketball-reference.com//players/g/gordoer01.html,https://www.basketball-reference.com/req/202106291/images/players/gordoer01.jpg
195,6,Kevin Love,20,MIN,0.0,16.0,600,0.027,81,25.3,11.1,9.1,1.0,0.4,0.6,.459,.105,.789,5.3,.124,2009,https://www.basketball-reference.com//players/l/loveke01.html,https://www.basketball-reference.com/req/202106291/images/players/loveke01.jpg
196,7,Michael Beasley,20,MIA,0.0,7.0,600,0.012,81,24.8,13.9,5.4,1.0,0.5,0.5,.472,.407,.772,3.4,.081,2009,https://www.basketball-reference.com//players/b/beaslmi01.html,https://www.basketball-reference.com/req/202106291/images/players/beaslmi01.jpg
197,8,Marc Gasol,24,MEM,0.0,4.0,600,0.007,82,30.7,11.9,7.4,1.7,0.8,1.1,.530,.000,.733,6.4,.121,2009,https://www.basketball-reference.com//players/g/gasolma01.html,https://www.basketball-reference.com/req/202106291/images/players/gasolma01.jpg
198,9T,Rudy Fernández,23,POR,0.0,3.0,600,0.005,78,25.6,10.4,2.7,2.0,0.9,0.2,.425,.399,.839,6.1,.147,2009,https://www.basketball-reference.com//players/f/fernaru01.html,https://www.basketball-reference.com/req/202106291/images/players/fernaru01.jpg
199,9T,Robin Lopez,20,PHO,0.0,3.0,600,0.005,60,10.2,3.2,2.0,0.1,0.2,0.7,.518,.000,.691,1.1,.083,2009,https://www.basketball-reference.com//players/l/lopezro01.html,https://www.basketball-reference.com/req/202106291/images/players/lopezro01.jpg
200,11T,Mario Chalmers,22,MIA,0.0,2.0,600,0.003,82,32.0,10.0,2.8,4.9,2.0,0.1,.420,.367,.767,5.2,.095,2009,https://www.basketball-reference.com//players/c/chalmma01.html,https://www.basketball-reference.com/req/202106291/images/players/chalmma01.jpg
201,11T,Courtney Lee,23,ORL,0.0,2.0,600,0.003,77,25.2,8.4,2.3,1.2,1.0,0.2,.450,.404,.830,4.4,.108,2009,https://www.basketball-reference.com//players/l/leeco01.html,https://www.basketball-reference.com/req/202106291/images/players/leeco01.jpg
202,13,Nicolas Batum,20,POR,0.0,1.0,600,0.002,79,18.4,5.4,2.8,0.9,0.6,0.5,.446,.369,.808,3.7,.123,2009,https://www.basketball-reference.com//players/b/batumni01.html,https://www.basketball-reference.com/req/202106291/images/players/batumni01.jpg
203,1,Tyreke Evans,20,SAC,67.0,491.0,615,0.798,72,37.2,20.1,5.3,5.8,1.5,0.4,.458,.255,.748,5.4,.097,2010,https://www.basketball-reference.com//players/e/evansty01.html,https://www.basketball-reference.com/req/202106291/images/players/evansty01.jpg
204,2,Stephen Curry,21,GSW,43.0,391.0,615,0.636,80,36.2,17.5,4.5,5.9,1.9,0.2,.462,.437,.885,4.7,.077,2010,https://www.basketball-reference.com//players/c/curryst01.html,https://www.basketball-reference.com/req/202106291/images/players/curryst01.jpg
205,3,Brandon Jennings,20,MIL,12.0,204.0,615,0.332,82,32.6,15.5,3.4,5.7,1.3,0.2,.371,.374,.817,4.2,.075,2010,https://www.basketball-reference.com//players/j/jennibr01.html,https://www.basketball-reference.com/req/202106291/images/players/jennibr01.jpg
206,4,Darren Collison,22,NOH,1.0,17.0,615,0.028,76,27.8,12.4,2.5,5.7,1.0,0.1,.477,.400,.851,2.9,.067,2010,https://www.basketball-reference.com//players/c/collida01.html,https://www.basketball-reference.com/req/202106291/images/players/collida01.jpg
207,5T,Jonny Flynn,20,MIN,0.0,2.0,615,0.003,81,28.9,13.5,2.4,4.4,1.0,0.0,.417,.358,.826,0.1,.002,2010,https://www.basketball-reference.com//players/f/flynnjo01.html,https://www.basketball-reference.com/req/202106291/images/players/flynnjo01.jpg
208,5T,Taj Gibson,24,CHI,0.0,2.0,615,0.003,82,26.9,9.0,7.5,0.9,0.6,1.3,.494,NO DATA,.646,4.7,.103,2010,https://www.basketball-reference.com//players/g/gibsota01.html,https://www.basketball-reference.com/req/202106291/images/players/gibsota01.jpg
209,1,Blake Griffin,21,LAC,118.0,590.0,590,1.000,82,38.0,22.5,12.1,3.8,0.8,0.5,.506,.292,.642,9.8,.152,2011,https://www.basketball-reference.com//players/g/griffbl01.html,https://www.basketball-reference.com/req/202106291/images/players/griffbl01.jpg
210,2,John Wall,20,WAS,0.0,295.0,590,0.500,69,37.8,16.4,4.6,8.3,1.8,0.5,.409,.296,.766,2.2,.041,2011,https://www.basketball-reference.com//players/w/walljo01.html,https://www.basketball-reference.com/req/202106291/images/players/walljo01.jpg
211,3,DeMarcus Cousins,20,SAC,0.0,81.0,590,0.137,81,28.5,14.1,8.6,2.5,1.0,0.8,.430,.167,.687,1.1,.022,2011,https://www.basketball-reference.com//players/c/couside01.html,https://www.basketball-reference.com/req/202106291/images/players/couside01.jpg
212,4,Landry Fields,22,NYK,0.0,62.0,590,0.105,82,31.0,9.7,6.4,1.9,1.0,0.2,.497,.393,.769,5.3,.100,2011,https://www.basketball-reference.com//players/f/fieldla01.html,https://www.basketball-reference.com/req/202106291/images/players/fieldla01.jpg
213,5,Gary Neal,26,SAS,0.0,19.0,590,0.032,80,21.1,9.8,2.5,1.2,0.3,0.1,.451,.419,.808,3.5,.099,2011,https://www.basketball-reference.com//players/n/nealga01.html,https://www.basketball-reference.com/req/202106291/images/players/nealga01.jpg
214,6,Greg Monroe,20,DET,0.0,15.0,590,0.025,80,27.8,9.4,7.5,1.3,1.2,0.6,.551,.000,.622,6.6,.143,2011,https://www.basketball-reference.com//players/m/monrogr01.html,https://www.basketball-reference.com/req/202106291/images/players/monrogr01.jpg
215,1,Kyrie Irving,19,CLE,117.0,592.0,600,0.987,51,30.5,18.5,3.7,5.4,1.1,0.4,.469,.399,.872,4.1,.125,2012,https://www.basketball-reference.com//players/i/irvinky01.html,https://www.basketball-reference.com/req/202106291/images/players/irvinky01.jpg
216,2,Ricky Rubio,21,MIN,0.0,170.0,600,0.283,41,34.2,10.6,4.2,8.2,2.2,0.2,.357,.340,.803,2.0,.070,2012,https://www.basketball-reference.com//players/r/rubiori01.html,https://www.basketball-reference.com/req/202106291/images/players/rubiori01.jpg
217,3,Kenneth Faried,22,DEN,1.0,129.0,600,0.215,46,22.5,10.2,7.7,0.8,0.7,1.0,.586,NO DATA,.665,4.6,.212,2012,https://www.basketball-reference.com//players/f/farieke01.html,https://www.basketball-reference.com/req/202106291/images/players/farieke01.jpg
218,4,Kawhi Leonard,20,SAS,1.0,47.0,600,0.078,64,24.0,7.9,5.1,1.1,1.3,0.4,.493,.376,.773,5.5,.171,2012,https://www.basketball-reference.com//players/l/leonaka01.html,https://www.basketball-reference.com/req/202106291/images/players/leonaka01.jpg
219,5,Iman Shumpert,21,NYK,1.0,33.0,600,0.055,59,28.9,9.5,3.2,2.8,1.7,0.1,.401,.306,.798,2.4,.068,2012,https://www.basketball-reference.com//players/s/shumpim01.html,https://www.basketball-reference.com/req/202106291/images/players/shumpim01.jpg
220,6,Klay Thompson,21,GSW,0.0,30.0,600,0.050,66,24.4,12.5,2.4,2.0,0.7,0.3,.443,.414,.868,1.7,.050,2012,https://www.basketball-reference.com//players/t/thompkl01.html,https://www.basketball-reference.com/req/202106291/images/players/thompkl01.jpg
221,7,Isaiah Thomas,22,SAC,0.0,28.0,600,0.047,65,25.5,11.5,2.6,4.1,0.8,0.1,.448,.379,.832,4.3,.124,2012,https://www.basketball-reference.com//players/t/thomais02.html,https://www.basketball-reference.com/req/202106291/images/players/thomais02.jpg
222,8,Brandon Knight,20,DET,0.0,21.0,600,0.035,66,32.3,12.8,3.2,3.8,0.7,0.2,.415,.380,.759,1.3,.029,2012,https://www.basketball-reference.com//players/k/knighbr03.html,https://www.basketball-reference.com/req/202106291/images/players/knighbr03.jpg
